id,company,assignee,title,inventor/author,priority.date,filing/creation.date,publication.date,grant.date,result.link,representative.figure.link,inventorlocation
US-2392788-A,Budd,Budd Edward G Mfg Co,Aircraft structure ,Watter Michael,15061,15598,16810,16810,https://patents.google.com/patent/US2392788A/en,https://patentimages.storage.googleapis.com/3b/f4/6e/faeea25af99b70/US2392788-drawings-page-1.png,"RCRAFT STRUCTURE Michael Watter, Philadelphia, Pa "
US-2019272-A,Budd,Budd Edward G Mfg Co,Aerofoil and method of making same ,Earl J W Ragsdale,11497,11497,13086,13086,https://patents.google.com/patent/US2019272A/en,https://patentimages.storage.googleapis.com/73/06/43/dea88f6d3d825d/US2019272-drawings-page-1.png,"KING SAME  -Earl J. W. Ragsdale, Norristown, Pa., "
US-2392789-A,Budd,Budd Edward G Mfg Co,Skid floor ,Watter Michael,16391,16391,16810,16810,https://patents.google.com/patent/US2392789A/en,https://patentimages.storage.googleapis.com/7c/2f/32/e6bf0fc48b2e85/US2392789-drawings-page-1.png,"1946 sxm noon Michael Wattor, Philadelphia, Pa... "
US-2405917-A,Budd,Budd Edward G Mfg Co,Strut element and joint ,Watter Michael,15734,15734,17027,17027,https://patents.google.com/patent/US2405917A/en,https://patentimages.storage.googleapis.com/81/09/b2/12f370969ee110/US2405917-drawings-page-1.png,"MENT AND JoiN'r Michael Wattcr, Philadelphia, Pa, "
US-2386018-A,Budd,Budd Edward G Mfg Co,Method of making aircraft structures ,Watter Michael,15043,15043,16712,16712,https://patents.google.com/patent/US2386018A/en,https://patentimages.storage.googleapis.com/75/9c/fe/9ee174c1e85e4d/US2386018-drawings-page-1.png," MAKING AIRCRAF STRUCTURES a M Philadelphia, Pa., "
US-2407480-A,Budd,Budd Co,Aircraft fuselage and wing construction ,Albert G Dean,16328,16328,17055,17055,https://patents.google.com/patent/US2407480A/en,https://patentimages.storage.googleapis.com/30/a2/7a/344207c4c36caa/US2407480-drawings-page-1.png,"G Y CONSTRUCTION Q Albert G. Dean, Narberth, Pa., "
US-2430438-A,Budd,Budd Co,Method of manufacturing and assembling airfoil structures ,"Watter Michael, Frank P Bender",15780,15780,17475,17475,https://patents.google.com/patent/US2430438A/en,https://patentimages.storage.googleapis.com/ec/62/cb/4e475a1e0f9e38/US2430438-drawings-page-1.png,"el Watter and Frank P. Bender, Philadelphia, Pa., "
US-2416245-A,Budd,Budd Co,Aircraft fuselage and wing construction ,"Watter Michael, Albert G Dean",15885,15885,17216,17216,https://patents.google.com/patent/US2416245A/en,https://patentimages.storage.googleapis.com/23/c3/6e/6308c5e7c4b4b4/US2416245-drawings-page-1.png,"Philadelphia,V and Albert G. Dean, Narberth, Pa., "
US-2275037-A,Budd,Budd Edward G Mfg Co,Panel section ,Watter Michael,14445,14445,15403,15403,https://patents.google.com/patent/US2275037A/en,https://patentimages.storage.googleapis.com/ba/61/b4/e7e2fae3ee2e49/US2275037-drawings-page-1.png,"ANEL SECTION Michael Watter, Philadelphia, 'Pa.,- "
US-2285592-A,Budd,Budd Mfg Company,Propeller drive ,Ledwinka Joseph,14213,14213,15501,15501,https://patents.google.com/patent/US2285592A/en,https://patentimages.storage.googleapis.com/c9/96/a9/c7dd31e5ea488e/US2285592-drawings-page-1.png,"oPELLEn DRIVE Joseph Ledwinka, Philadelphia, Pa., "
US-2451454-A,Budd,Budd Co,Method of fabricating airfoils ,Watter Michael,15885,15885,17818,17818,https://patents.google.com/patent/US2451454A/en,https://patentimages.storage.googleapis.com/d7/77/3f/ce055e9f243952/US2451454-drawings-page-1.png,"ATING AIRFOILS Michael Watter, Philadelphia, Pa., "
US-2396625-A,Budd,Budd Edward G Mfg Co,Aircraft structure ,Watter Michael,15061,15061,16873,16873,https://patents.google.com/patent/US2396625A/en,https://patentimages.storage.googleapis.com/6e/b6/1a/2f5c2e4eca0e45/US2396625-drawings-page-1.png,"RAFT STRUCTURE Michael Watter, Philadelphia, Pa., "
